Entry Date,Posting Date,Organization,Organization Branch,Vendor Inv No,Vendor Inv Date,Currency,ExchRate,Narration,Due Date,Charge or GL,Charge or GL Name,Charge or GL Amount,DR or CR,Cost Center,Branch, Charge Narration,TaxGroup,Tax Type,SAC or HSN,Taxcode1,Taxcode1 Amt,Taxcode2,Taxcode2 Amt,Taxcode3,Taxcode3 Amt,Taxcode4,Taxcode4 Amt,Avail Tax Credit,LOB,Ref Type,Ref No,Amount ,Start Date,End Date,WH Tax Code,WH Tax Percentage,WH Tax Taxable,WH Tax Amount,Round Off,CC Code
02-Apr-26,02-Apr-26,SPEEDY MULTIMODES LIMITED,HO,EBI001925/25-26S,31-Mar-26,INR,1,Being Entry posted for Speedy / CFS / ER/06884/25-26,,WAREHOUSE CHARGES _ GST,WAREHOUSE CHARGES (E) (1) (PAYMENT),9000,Dr,CCL EXP,HO,,GSTIN,Taxable,996711,CGST,810,SGST,810,,,,,100,CCL EXP,,ER/06884/25-26,10620,,,194C,2,180,1620,No,
02-Apr-26,02-Apr-26,SPEEDY MULTIMODES LIMITED,HO,EBI001926/25-26S,31-Mar-26,INR,1,Being Entry posted for Speedy / CFS / ER/06879/25-26,,WAREHOUSE CHARGES _ GST,WAREHOUSE CHARGES (E) (1) (PAYMENT),9000,Dr,CCL EXP,HO,,GSTIN,Taxable,996711,CGST,810,SGST,810,,,,,100,CCL EXP,,ER/06879/25-26,10620,,,194C,2,180,1620,No,
02-Apr-26,02-Apr-26,SPEEDY MULTIMODES LIMITED,HO,EBI001927/25-26S,31-Mar-26,INR,1,Being Entry posted for Speedy / CFS / ER/06897/25-26,,WAREHOUSE CHARGES _ GST,WAREHOUSE CHARGES (E) (1) (PAYMENT),9000,Dr,CCL EXP,HO,,GSTIN,Taxable,996711,CGST,810,SGST,810,,,,,100,CCL EXP,,ER/06897/25-26,10620,,,194C,2,180,1620,No,
02-Apr-26,02-Apr-26,SPEEDY MULTIMODES LIMITED,HO,EBI001928/25-26S,31-Mar-26,INR,1,Being Entry posted for Speedy / CFS / ER/06881/25-26,,WAREHOUSE CHARGES _ GST,WAREHOUSE CHARGES (E) (1) (PAYMENT),9000,Dr,CCL EXP,HO,,GSTIN,Taxable,996711,CGST,810,SGST,810,,,,,100,CCL EXP,,ER/06881/25-26,10620,,,194C,2,180,1620,No,
02-Apr-26,02-Apr-26,SPEEDY MULTIMODES LIMITED,HO,EBI001929/25-26S,31-Mar-26,INR,1,Being Entry posted for Speedy / CFS / ER/06887/25-26,,WAREHOUSE CHARGES _ GST,WAREHOUSE CHARGES (E) (1) (PAYMENT),9000,Dr,CCL EXP,HO,,GSTIN,Taxable,996711,CGST,810,SGST,810,,,,,100,CCL EXP,,ER/06887/25-26,10620,,,194C,2,180,1620,No,
02-Apr-26,02-Apr-26,SPEEDY MULTIMODES LIMITED,HO,EBI001930/25-26S,31-Mar-26,INR,1,Being Entry posted for Speedy / CFS / ER/06882/25-26,,WAREHOUSE CHARGES _ GST,WAREHOUSE CHARGES (E) (1) (PAYMENT),9000,Dr,CCL EXP,HO,,GSTIN,Taxable,996711,CGST,810,SGST,810,,,,,100,CCL EXP,,ER/06882/25-26,10620,,,194C,2,180,1620,No,
02-Apr-26,02-Apr-26,SPEEDY MULTIMODES LIMITED,HO,EBI001931/25-26S,31-Mar-26,INR,1,Being Entry posted for Speedy / CFS / ER/06883/25-26,,WAREHOUSE CHARGES _ GST,WAREHOUSE CHARGES (E) (1) (PAYMENT),9000,Dr,CCL EXP,HO,,GSTIN,Taxable,996711,CGST,810,SGST,810,,,,,100,CCL EXP,,ER/06883/25-26,10620,,,194C,2,180,1620,No,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LTD,MUMBAI,,,,,,,,,,,CCL Export,,,,,,,,,,,,,,,,,,9000 (base amt),,,,,9000,,,
